canonical_smiles,MW,cLogP,HBD,HBA,TPSA,QED,SA_score,scaffold,nearest_active_sim,has_hydroxyl,has_amine,has_carbonyl,has_amide,has_halogen_F,has_halogen_Cl,has_halogen_Br,has_aromatic_ring,has_piperidine,has_piperazine,has_morpholine
CC(C)OP(=O)(O)CC(C(C)(C)C)C(C)(Oc1ccc(C(C)C)cc1)c1ccccc1,446.5680000000001,7.376900000000008,1,3,55.760000000000005,0.4084151890567819,3.8071878806589092,c1ccc(COc2ccccc2)cc1,0.175,True,False,False,False,False,False,False,True,False,False,False
Cc1cc(S(N)(=O)=O)cc(Br)c1C(=O)O,294.12600000000003,1.1031200000000003,2,3,97.46000000000001,0.8531208892608642,2.2703800823666693,c1ccccc1,0.25862068965517243,True,True,True,False,False,False,True,True,False,False,False
O=C(O)CC(c1ccccc1)c1cccnc1,227.263,2.688200000000001,1,2,50.19,0.8731774869093982,2.2480208301539495,c1ccc(Cc2cccnc2)cc1,0.25862068965517243,True,False,True,False,False,False,False,True,False,False,False
Nn1c(SCC(=O)NC(c2cccs2)c2cccs2)nnc1-c1ccncc1,428.5680000000001,3.174800000000001,2,8,98.72,0.3464944884578698,2.5824478823737316,O=C(CSc1nnc(-c2ccncc2)[nH]1)NC(c1cccs1)c1cccs1,0.20689655172413793,False,True,True,True,False,False,False,True,False,False,False
COc1ccc(-n2c(OCCCC#N)cc3ncc(SC)cc32)cc1,353.447,4.4385800000000035,0,5,60.07,0.4641422586341327,2.758891620792026,c1ccc(-n2ccc3ncccc32)cc1,0.21052631578947367,False,False,False,False,False,False,False,True,False,False,False
O=C(NC1(CC(=O)N2CC3C(C2)C3C(=O)O)CC1)OCC1c2ccccc2-c2ccccc21,446.50300000000016,3.2368000000000023,2,4,95.94000000000001,0.7103466446233037,3.5535701476777177,O=C(NC1(CC(=O)N2CC3CC3C2)CC1)OCC1c2ccccc2-c2ccccc21,0.17721518987341772,True,False,True,True,False,False,False,True,True,False,False
Cc1ccc(OCC(=O)NN=Cc2cc3c(cc2[N+](=O)[O-])OCCO3)c(C(C)(C)C)c1,427.45700000000033,3.5010200000000022,1,7,112.29,0.42893188140053246,2.549748426321539,O=C(COc1ccccc1)NN=Cc1ccc2c(c1)OCCO2,0.20652173913043478,False,False,True,True,False,False,False,True,False,False,False
CCCCOC(=O)CSCc1[nH]c(=O)n(C)c1Cl,292.788,1.9433,1,4,64.09,0.6160975989110559,2.8395881104503147,O=c1[nH]cc[nH]1,0.20833333333333334,False,False,True,False,False,True,False,False,False,False,False
C#Cc1ccc(C#Cc2ccc(C#CCCO)cn2)cc1C#CCCCCCC,379.50300000000027,4.518500000000004,1,2,33.120000000000005,0.6120822067784019,3.130196789653093,C(#Cc1ccccn1)c1ccccc1,0.1686746987951807,True,False,False,False,False,False,False,True,False,False,False
CCCCCCCCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC,767.007,3.397300000000002,7,14,214.05999999999997,0.03982847012968609,4.85434332116147,C1CCC(COC2CCCCO2)OC1,0.13793103448275862,True,False,True,False,False,False,False,False,False,False,False
CCOCCc1cn(-c2ccc(C)cc2)c(=O)n(C)c1=O,288.3470000000001,1.42362,0,3,53.23,0.78200274915242,2.3170812862146626,O=c1ccn(-c2ccccc2)c(=O)[nH]1,0.20689655172413793,False,False,False,False,False,False,False,True,False,False,False
CC1CCC(Cc2ccc(F)cc2)CN1CC1CCC(O)CC1,319.46400000000006,4.019800000000003,1,2,23.47,0.9058687190901843,3.0170195522360244,c1ccc(CC2CCCN(CC3CCCCC3)C2)cc1,0.22988505747126436,True,False,False,False,True,False,False,True,True,False,False
O=C(Nc1ccc(Cl)c(C(=O)O)c1)c1cn[nH]n1,266.644,1.4085999999999996,3,4,107.97000000000001,0.7782538100314695,2.1909775798380693,O=C(Nc1ccccc1)c1cn[nH]n1,0.30357142857142855,True,False,True,True,False,True,False,True,False,False,False
CCC(C)NCC(=O)Nc1ccc(N2CCCC2)cc1,275.39599999999996,2.6134000000000004,2,3,44.370000000000005,0.8385533238476878,2.2527022671205135,c1ccc(N2CCCC2)cc1,0.3492063492063492,False,True,True,True,False,False,False,True,False,False,False
O=C(NC(O)(C(=O)C(F)F)C(F)(F)F)c1ccoc1,287.13999999999993,1.0944999999999994,2,4,79.54,0.6415859086528221,3.6219391416024314,c1ccoc1,0.18181818181818182,True,False,True,True,True,False,False,False,False,False,False
CC1CCc2ncn(CC(=O)NN=Cc3ccc(F)cc3)c2C1,314.3640000000001,2.2973,1,3,59.28,0.6951771710755169,2.9684442424945914,O=C(Cn1cnc2c1CCCC2)NN=Cc1ccccc1,0.22857142857142856,False,False,True,True,True,False,False,True,False,False,False
CCc1ccc2c(NC(=O)CCl)cc(=O)oc2c1,265.69599999999997,2.5327,1,3,59.31,0.6852586006476168,2.2244215798380687,O=c1ccc2ccccc2o1,0.25,False,False,True,True,False,True,False,True,False,False,False
CCCOc1ccc(C(N)=NCc2c(CC)nn(C)c2CC)cc1,328.46000000000004,3.239200000000002,1,3,65.43,0.5974285052247623,2.6177377408442073,C(=NCc1cn[nH]c1)c1ccccc1,0.2054794520547945,False,True,False,False,False,False,False,True,False,False,False
CC(C)CC(C)NC(=O)c1ccc(O)cc1O,237.299,2.2621999999999995,3,3,69.56,0.7519543293778753,2.4555358066060684,c1ccccc1,0.21428571428571427,True,False,True,True,False,False,False,True,False,False,False
COc1cccc(S(C)(=O)=O)c1CNC(=O)c1nc(F)c(F)cc1N,371.365,1.2841000000000002,2,6,111.38,0.7662280742572696,2.636176838932096,O=C(NCc1ccccc1)c1ccccn1,0.3333333333333333,False,True,True,True,True,False,False,True,False,False,False
CCCC1CC1NCCCC(=O)N(C)CC,226.36399999999998,2.0231000000000003,1,2,32.34,0.6422474385397594,3.2796586741909417,C1CC1,0.1864406779661017,False,True,True,True,False,False,False,False,False,False,False
Cc1ccc(C(=O)NCC(C)(C)CN)s1,226.345,1.77122,2,3,55.120000000000005,0.8218189641416509,2.398076964957763,c1ccsc1,0.25,False,True,True,True,False,False,False,False,False,False,False
Cc1cc(CN2CCC3NCCCC32)ccc1F,248.34499999999997,2.460420000000001,1,2,15.27,0.8646327995688639,3.0659957431777203,c1ccc(CN2CCC3NCCCC32)cc1,0.23684210526315788,False,True,False,False,True,False,False,True,True,False,False
CCNC(=O)CCNC(=NC)NCc1nncn1C,267.337,-0.9936999999999985,3,4,96.22999999999999,0.45397121212987485,2.7685299304621083,c1nnc[nH]1,0.1951219512195122,False,True,True,True,False,False,False,False,False,False,False
CCOC(=O)c1cc(C)n(-c2ccc(F)cc2C)n1,262.28399999999993,2.804940000000001,0,3,44.120000000000005,0.798826832519992,2.054261665418009,c1ccc(-n2cccn2)cc1,0.24096385542168675,False,False,True,False,True,False,False,True,False,False,False
CC(C)(C)CCNC1C2CCC(C2)CC1(C)C,237.43099999999993,4.227000000000004,1,1,12.03,0.7744339477355853,4.619714527873054,C1CC2CCC(C1)C2,0.14864864864864866,False,True,False,False,False,False,False,False,False,False,False
CCOC(=O)CCn1cc(NCCOCC(C)C)cn1,283.37199999999996,1.9207999999999998,1,5,65.38,0.5247627266270758,2.376767993193635,c1cn[nH]c1,0.3246753246753247,False,True,True,False,False,False,False,False,False,False,False
CCc1ccc(C)c(Cl)c1OC,184.66599999999997,3.219420000000002,0,1,9.23,0.6860457787186975,2.1153982921770673,c1ccccc1,0.21052631578947367,False,False,False,False,False,True,False,True,False,False,False
Cc1ncc2n1CCCC2N,151.21300000000002,0.98512,1,2,43.84,0.6004578846573003,3.55102598786175,c1ncn2c1CCCC2,0.2153846153846154,False,True,False,False,False,False,False,False,False,False,False
COc1ccc(N(C)C(=O)CCNC(=O)Cn2ccnc2)cc1,316.361,1.060999999999999,1,4,76.46000000000001,0.8285322390471507,2.2025459268199885,O=C(Cn1ccnc1)NCCC(=O)Nc1ccccc1,0.28169014084507044,False,False,True,True,False,False,False,True,False,False,False
COc1ccc(F)c(C(C2CCN(C(=O)N3CCOCC3)CC2)N2CCc3ccc(OC)c(SF)c3C2)c1,547.6680000000002,5.083100000000005,0,6,54.480000000000004,0.5028191077662015,3.6322943659642632,O=C(N1CCOCC1)N1CCC(C(c2ccccc2)N2CCc3ccccc3C2)CC1,0.25961538461538464,False,False,True,True,True,False,False,True,True,False,True
O=S(=O)(Cc1ncns1)c1ccc([NH+]([O-])O)cc1,287.322,-0.08460000000000018,2,7,107.65,0.7612318712871566,4.367659419988197,O=S(=O)(Cc1ncns1)c1ccccc1,0.2054794520547945,True,False,False,False,False,False,False,True,False,False,False
C=Cc1ccc(-c2c(C)nc(Nc3ccc(C)c(C(F)(F)F)c3)n2Cc2ccccc2)cc1,447.5040000000001,7.620640000000005,1,2,29.85,0.32943177428522546,2.554576529269088,c1ccc(Cn2c(-c3ccccc3)cnc2Nc2ccccc2)cc1,0.28735632183908044,False,True,False,False,True,False,False,True,False,False,False
NC(N)=NC(N)=Nc1ccc(-c2nncs2)cc1,261.314,0.4247000000000004,3,4,128.56,0.5328322315209275,2.9030606748606935,c1ccc(-c2nncs2)cc1,0.20754716981132076,False,True,False,False,False,False,False,True,False,False,False
O=C(Nc1c(-c2ccccc2)nc2ccccn2c1=O)c1ccc(-c2ccccc2)cc1,417.46800000000013,5.280800000000004,1,3,63.470000000000006,0.43266724226526027,2.0762497947690957,O=C(Nc1c(-c2ccccc2)nc2ccccn2c1=O)c1ccc(-c2ccccc2)cc1,0.28125,False,False,True,True,False,False,False,True,False,False,False
